id,migration,batch
1,2014_10_12_000000_create_users_table,1
2,2014_10_12_100000_create_password_resets_table,1
3,2019_07_08_124817_create_user_settings_table,1
4,2019_07_10_143908_create_ext_rss_table,1
5,2019_07_10_145904_create_extfeeds_table,1
6,2019_07_26_080545_add_short_bio_to_users_table,1
7,2019_08_16_204047_create_contact_settings,1
8,2019_08_18_092103_create_maillists_table,1
9,2019_08_21_100613_create_posts_table,1
10,2019_08_21_193424_add_image_to_posts,1
11,2019_08_22_115308_create_comments_table,1
12,2019_08_23_124434_create_thoughts_table,1
13,2019_08_23_124615_create_notifications_table,1
14,2019_08_23_130039_add_action_to_posts_table,1
15,2019_08_24_212810_create_following_table,1
16,2019_08_26_130908_add_tags_to_extfeeds,1
17,2019_08_31_102700_create_interests_table,1
18,2019_09_02_033813_add_post_id_to_posts_table,1
19,2019_09_12_163927_create_users_email_login_tokens_table,2
20,2019_09_20_092624_add_tabs_to_user_settings_table,2
21,2019_09_20_092826_add_view_to_user_settings_table,2
22,2019_09_20_092914_add_theme_to_user_settings_table,2
23,2019_09_20_094422_add_public_view_to_user_settings_table,2
24,2019_09_22_095822_add_category_to_ext_rsses_table,3
