"id","post_id","parent_comment_id","comment","sender_id","user_id","status","action","type","created_at","updated_at"
"1",NULL,NULL,NULL,"4","7","1","Followed","Following","2019-08-26 09:43:56","2019-08-26 18:20:28"
"2",NULL,NULL,NULL,"1","4","1","Followed","Following","2019-08-26 09:48:21","2019-08-26 13:05:42"
"3",NULL,NULL,NULL,"3","45","0","Followed","Following","2019-08-26 09:51:39","2019-08-26 09:51:39"
"5",NULL,NULL,NULL,"1","4","1","Followed","Following","2019-08-26 11:32:46","2019-08-26 13:05:42"
"7","278",NULL,"Hey bro!","1","4","1","Commented","Post","2019-08-26 15:13:17","2019-08-26 15:13:25"
"8","360",NULL,"This is an interesting write-up. I have a question though, in the quest to create solutions that saves time for people, you end up spending quite a fair of time. Also, sometimes it might not really be worth it. What metric can be used to determine how to balance this appropriately?","3","7","1","Commented","Post","2019-08-26 18:10:20","2019-08-26 18:20:28"
"9","360",NULL,"A nice write up","4","7","1","Commented","Post","2019-08-26 18:13:14","2019-08-26 18:20:28"
"10",NULL,NULL,NULL,"3","363","0","Followed","Following","2019-08-26 18:31:56","2019-08-26 18:31:56"
"11","143",NULL,"I have learnt how to publish an article and How to use Doc and to create a blog","2191","2191","0","Commented","Post","2019-08-26 18:44:23","2019-08-26 18:44:23"
"12","371",NULL,"That's awesome","9","3","1","Commented","Post","2019-08-26 19:15:45","2019-08-27 11:15:03"
"13",NULL,NULL,NULL,"834","856","0","Followed","Following","2019-08-26 19:32:35","2019-08-26 19:32:35"
"14",NULL,NULL,NULL,"2240","59","0","Followed","Following","2019-08-26 20:11:53","2019-08-26 20:11:53"
"15","371",NULL,"wait, this works?","6","3","1","Commented","Post","2019-08-26 21:09:39","2019-08-27 11:15:03"
"16","371",NULL,"uhm... not really...","6","3","1","Commented","Post","2019-08-26 21:09:58","2019-08-27 11:15:03"
"17",NULL,NULL,NULL,"492","6","1","Followed","Following","2019-08-26 21:15:25","2019-08-26 23:39:57"
"18",NULL,NULL,NULL,"2245","6","1","Followed","Following","2019-08-26 21:15:44","2019-08-26 23:39:57"
"19",NULL,NULL,NULL,"1051","6","1","Followed","Following","2019-08-26 21:16:39","2019-08-26 23:39:57"
"20",NULL,NULL,NULL,"710","6","1","Followed","Following","2019-08-26 21:19:29","2019-08-26 23:39:57"
"21",NULL,NULL,NULL,"1043","11","0","Followed","Following","2019-08-26 21:22:22","2019-08-26 21:22:22"
"22",NULL,NULL,NULL,"868","6","1","Followed","Following","2019-08-26 21:24:41","2019-08-26 23:39:57"
"23",NULL,NULL,NULL,"612","6","1","Followed","Following","2019-08-26 21:28:59","2019-08-26 23:39:57"
"24",NULL,NULL,NULL,"847","6","1","Followed","Following","2019-08-26 21:29:07","2019-08-26 23:39:57"
"25",NULL,NULL,NULL,"1731","6","1","Followed","Following","2019-08-26 21:33:34","2019-08-26 23:39:57"
"26","371",NULL,"But my posts are nowhere to be found. Excellent work boss... Kudos!!","489","3","1","Commented","Post","2019-08-26 21:41:27","2019-08-27 11:15:03"
"27",NULL,NULL,NULL,"242","6","1","Followed","Following","2019-08-26 21:47:23","2019-08-26 23:39:57"
"28",NULL,NULL,NULL,"1864","1147","0","Followed","Following","2019-08-26 21:56:48","2019-08-26 21:56:48"
"29",NULL,NULL,NULL,"1864","118","0","Followed","Following","2019-08-26 21:57:56","2019-08-26 21:57:56"
"30",NULL,NULL,NULL,"439","2218","0","Followed","Following","2019-08-26 22:50:51","2019-08-26 22:50:51"
"31",NULL,NULL,NULL,"439","2218","0","Followed","Following","2019-08-26 22:50:55","2019-08-26 22:50:55"
"32",NULL,NULL,NULL,"192","6","1","Followed","Following","2019-08-26 23:36:03","2019-08-26 23:39:57"
"33",NULL,NULL,NULL,"550","6","1","Followed","Following","2019-08-26 23:54:31","2019-08-27 09:23:47"
"34","371",NULL,"Yay, a comment section too. Nice job","550","3","1","Commented","Post","2019-08-26 23:55:17","2019-08-27 11:15:03"
"35",NULL,NULL,NULL,"1801","922","0","Followed","Following","2019-08-27 00:23:49","2019-08-27 00:23:49"
"36",NULL,NULL,NULL,"1340","738","0","Followed","Following","2019-08-27 01:21:36","2019-08-27 01:21:36"
"37",NULL,NULL,NULL,"1340","101","0","Followed","Following","2019-08-27 01:21:54","2019-08-27 01:21:54"
"38","439",NULL,"Can't wait...wish notification is up and running by then. Keeping tab.","1340","6","1","Commented","Post","2019-08-27 01:23:31","2019-08-27 09:23:47"
"39",NULL,NULL,NULL,"1340","6","1","Followed","Following","2019-08-27 01:24:28","2019-08-27 09:23:47"
"40",NULL,NULL,NULL,"698","6","1","Followed","Following","2019-08-27 08:26:12","2019-08-27 09:23:47"
"41",NULL,NULL,NULL,"1318","6","0","Followed","Following","2019-08-27 09:34:32","2019-08-27 09:34:32"
"42",NULL,NULL,NULL,"1825","6","0","Followed","Following","2019-08-27 09:35:21","2019-08-27 09:35:21"
"43",NULL,NULL,NULL,"1239","6","0","Followed","Following","2019-08-27 09:36:08","2019-08-27 09:36:08"
"44",NULL,NULL,NULL,"1098","6","0","Followed","Following","2019-08-27 09:36:41","2019-08-27 09:36:41"
"45",NULL,NULL,NULL,"1010","6","0","Followed","Following","2019-08-27 09:36:51","2019-08-27 09:36:51"
"46",NULL,NULL,NULL,"669","458","0","Followed","Following","2019-08-27 09:36:59","2019-08-27 09:36:59"
"47",NULL,NULL,NULL,"669","458","0","Followed","Following","2019-08-27 09:37:02","2019-08-27 09:37:02"
"48",NULL,NULL,NULL,"47","6","0","Followed","Following","2019-08-27 09:37:07","2019-08-27 09:37:07"
"49",NULL,NULL,NULL,"669","458","0","Followed","Following","2019-08-27 09:37:09","2019-08-27 09:37:09"
"50",NULL,NULL,NULL,"377","6","0","Followed","Following","2019-08-27 09:37:45","2019-08-27 09:37:45"
"51",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:18","2019-08-27 09:38:18"
"52",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:26","2019-08-27 09:38:26"
"53",NULL,NULL,NULL,"620","6","0","Followed","Following","2019-08-27 09:38:27","2019-08-27 09:38:27"
"54",NULL,NULL,NULL,"129","6","0","Followed","Following","2019-08-27 09:38:30","2019-08-27 09:38:30"
"55",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:31","2019-08-27 09:38:31"
"56",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:32","2019-08-27 09:38:32"
"57",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:34","2019-08-27 09:38:34"
"58",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:34","2019-08-27 09:38:34"
"59",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:36","2019-08-27 09:38:36"
"60",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:37","2019-08-27 09:38:37"
"61",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:41","2019-08-27 09:38:41"
"62",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:42","2019-08-27 09:38:42"
"63",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:43","2019-08-27 09:38:43"
"64",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:44","2019-08-27 09:38:44"
"65",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:46","2019-08-27 09:38:46"
"66",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:46","2019-08-27 09:38:46"
"67",NULL,NULL,NULL,"2271","6","0","Followed","Following","2019-08-27 09:38:48","2019-08-27 09:38:48"
"68",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:49","2019-08-27 09:38:49"
"69",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:50","2019-08-27 09:38:50"
"70",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:51","2019-08-27 09:38:51"
"71",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:53","2019-08-27 09:38:53"
"72",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:38:55","2019-08-27 09:38:55"
"73",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:02","2019-08-27 09:39:02"
"74",NULL,NULL,NULL,"2271","6","0","Followed","Following","2019-08-27 09:39:10","2019-08-27 09:39:10"
"75",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:13","2019-08-27 09:39:13"
"76",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:14","2019-08-27 09:39:14"
"77",NULL,NULL,NULL,"2234","6","0","Followed","Following","2019-08-27 09:39:47","2019-08-27 09:39:47"
"78",NULL,NULL,NULL,"1276","6","0","Followed","Following","2019-08-27 09:40:59","2019-08-27 09:40:59"
"79",NULL,NULL,NULL,"1886","6","0","Followed","Following","2019-08-27 09:41:59","2019-08-27 09:41:59"
"80","371",NULL,"Good to see the comment section","352","3","1","Commented","Post","2019-08-27 09:43:48","2019-08-27 11:15:03"
"81",NULL,NULL,NULL,"326","6","0","Followed","Following","2019-08-27 09:44:26","2019-08-27 09:44:26"
"82",NULL,NULL,NULL,"432","6","0","Followed","Following","2019-08-27 09:44:51","2019-08-27 09:44:51"
"83",NULL,NULL,NULL,"1030","6","0","Followed","Following","2019-08-27 09:45:05","2019-08-27 09:45:05"
"84",NULL,NULL,NULL,"410","6","0","Followed","Following","2019-08-27 09:46:10","2019-08-27 09:46:10"
"85",NULL,NULL,NULL,"447","6","0","Followed","Following","2019-08-27 09:48:13","2019-08-27 09:48:13"
"86",NULL,NULL,NULL,"1255","6","0","Followed","Following","2019-08-27 09:49:51","2019-08-27 09:49:51"
"87",NULL,NULL,NULL,"619","6","0","Followed","Following","2019-08-27 09:53:04","2019-08-27 09:53:04"
"88",NULL,NULL,NULL,"630","6","0","Followed","Following","2019-08-27 09:54:03","2019-08-27 09:54:03"
"89",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:02","2019-08-27 09:55:02"
"90",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:07","2019-08-27 09:55:07"
"91",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:09","2019-08-27 09:55:09"
"92",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:16","2019-08-27 09:55:16"
"93",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:20","2019-08-27 09:55:20"
"94",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:21","2019-08-27 09:55:21"
"95",NULL,NULL,NULL,"1947","6","0","Followed","Following","2019-08-27 09:55:22","2019-08-27 09:55:22"
